slug,name,environment,targetPath,targetFile,prompt,negativePrompt,characterReference,environmentReference
"ab-wheel-rollouts","Ab Wheel Rollouts","gym","backend/public/exercises/ab-wheel-rollouts/ab_wheel_rollouts.png","ab_wheel_rollouts.png","Professional 3D fitness instructional illustration using the ATTACHED CHARACTER MODEL as the exact identity reference. Keep the same stylized 3D cartoon male character across every image: short brown hair, vivid green eyes, moustache, compact athletic proportions, friendly premium app look. Clothing must remain identical in all images: black athletic t-shirt, black shorts, black training shoes. Exercise: Ab Wheel Rollouts. Training environment: gym. Muscle focus: Core. Category: Strength. Equipment required: Ab Wheel. Show two poses in the same image, LEFT = START and RIGHT = END, with a subtle movement arrow and small labels START and END. LEFT pose: Arrodíllate sosteniendo la rueda abdominal. RIGHT pose: Vuelve a la posición inicial. Minimal premium gym background with the SAME scene for every gym exercise: elegant modern training studio, neutral matte floor, soft studio lighting, only the exact equipment required by the exercise visible, no crowd, no extra machines unless needed. High quality, premium fitness app style, centered composition, full body visible when possible, biomechanically correct posture, consistent facial features and body proportions.","extra fingers, mutated hands, malformed hands, deformed hands, extra arms, extra legs, duplicated body parts, twisted limbs, bad anatomy, poor biomechanics, incorrect exercise form, blurry, low quality, low resolution, text artifacts, watermark, logo, cropped head, cropped feet, out of frame, wrong eye color, different clothes, different character, multiple characters, photorealistic adult human style, horror, violence, park, grass, outdoor scene, living room, home furniture, crowded commercial gym, too many machines, chaotic background","ai/comfy/references/athlete/modelos-masc/modelo_gym_masc_31_40.png","ai/comfy/references/environments/entorno_gym.png"
"alternating-banded-dead-bug-press","Alternating Banded Dead Bug Press","home","backend/public/exercises/alternating-banded-dead-bug-press/alternating_banded_dead_bug_press.png","alternating_banded_dead_bug_press.png","Professional 3D fitness instructional illustration using the ATTACHED CHARACTER MODEL as the exact identity reference. Keep the same stylized 3D cartoon male character across every image: short brown hair, vivid green eyes, moustache, compact athletic proportions, friendly premium app look. Clothing must remain identical in all images: black athletic t-shirt, black shorts, black training shoes. Exercise: Alternating Banded Dead Bug Press. Training environment: home. Muscle focus: Core. Category: Strength. Equipment required: Resistance Bands. Show two poses in the same image, LEFT = START and RIGHT = END, with a subtle movement arrow and small labels START and END. LEFT pose: Túmbate boca arriba con la banda anclada detrás o sujeta por las manos. RIGHT pose: Vuelve al centro y cambia de lado. Minimal premium home workout set with the SAME clean background for every home exercise: soft warm natural light, matte light wall, subtle floor shadow, one black mat on the floor, compact dumbbells and a folded resistance band placed neatly in the scene, no furniture clutter, no extra props. High quality, premium fitness app style, centered composition, full body visible when possible, biomechanically correct posture, consistent facial features and body proportions.","extra fingers, mutated hands, malformed hands, deformed hands, extra arms, extra legs, duplicated body parts, twisted limbs, bad anatomy, poor biomechanics, incorrect exercise form, blurry, low quality, low resolution, text artifacts, watermark, logo, cropped head, cropped feet, out of frame, wrong eye color, different clothes, different character, multiple characters, photorealistic adult human style, horror, violence, outdoor park, trees, grass, road, gym machines, cable station, barbell rack, crowded room, windows with strong scenery","ai/comfy/references/athlete/modelos-masc/modelo_gym_masc_31_40.png","ai/comfy/references/environments/entorno_home.png"
"alternating-banded-glute-bridge-march","Alternating Banded Glute Bridge March","home","backend/public/exercises/alternating-banded-glute-bridge-march/alternating_banded_glute_bridge_march.png","alternating_banded_glute_bridge_march.png","Professional 3D fitness instructional illustration using the ATTACHED CHARACTER MODEL as the exact identity reference. Keep the same stylized 3D cartoon male character across every image: short brown hair, vivid green eyes, moustache, compact athletic proportions, friendly premium app look. Clothing must remain identical in all images: black athletic t-shirt, black shorts, black training shoes. Exercise: Alternating Banded Glute Bridge March. Training environment: home. Muscle focus: Glutes. Category: Strength. Equipment required: Resistance Bands. Show two poses in the same image, LEFT = START and RIGHT = END, with a subtle movement arrow and small labels START and END. LEFT pose: Acuéstate boca arriba con banda sobre las rodillas. RIGHT pose: Mantén la apertura de la banda arriba. Minimal premium home workout set with the SAME clean background for every home exercise: soft warm natural light, matte light wall, subtle floor shadow, one black mat on the floor, compact dumbbells and a folded resistance band placed neatly in the scene, no furniture clutter, no extra props. High quality, premium fitness app style, centered composition, full body visible when possible, biomechanically correct posture, consistent facial features and body proportions.","extra fingers, mutated hands, malformed hands, deformed hands, extra arms, extra legs, duplicated body parts, twisted limbs, bad anatomy, poor biomechanics, incorrect exercise form, blurry, low quality, low resolution, text artifacts, watermark, logo, cropped head, cropped feet, out of frame, wrong eye color, different clothes, different character, multiple characters, photorealistic adult human style, horror, violence, outdoor park, trees, grass, road, gym machines, cable station, barbell rack, crowded room, windows with strong scenery","ai/comfy/references/athlete/modelos-masc/modelo_gym_masc_31_40.png","ai/comfy/references/environments/entorno_home.png"
"alternating-banded-hip-abduction","Alternating Banded Hip Abduction","home","backend/public/exercises/alternating-banded-hip-abduction/alternating_banded_hip_abduction.png","alternating_banded_hip_abduction.png","Professional 3D fitness instructional illustration using the ATTACHED CHARACTER MODEL as the exact identity reference. Keep the same stylized 3D cartoon male character across every image: short brown hair, vivid green eyes, moustache, compact athletic proportions, friendly premium app look. Clothing must remain identical in all images: black athletic t-shirt, black shorts, black training shoes. Exercise: Alternating Banded Hip Abduction. Training environment: home. Muscle focus: Glutes. Category: Strength. Equipment required: Resistance Bands. Show two poses in the same image, LEFT = START and RIGHT = END, with a subtle movement arrow and small labels START and END. LEFT pose: Coloca la banda por encima de tobillos o rodillas. RIGHT pose: Vuelve lentamente manteniendo tensión en la banda. Minimal premium home workout set with the SAME clean background for every home exercise: soft warm natural light, matte light wall, subtle floor shadow, one black mat on the floor, compact dumbbells and a folded resistance band placed neatly in the scene, no furniture clutter, no extra props. High quality, premium fitness app style, centered composition, full body visible when possible, biomechanically correct posture, consistent facial features and body proportions.","extra fingers, mutated hands, malformed hands, deformed hands, extra arms, extra legs, duplicated body parts, twisted limbs, bad anatomy, poor biomechanics, incorrect exercise form, blurry, low quality, low resolution, text artifacts, watermark, logo, cropped head, cropped feet, out of frame, wrong eye color, different clothes, different character, multiple characters, photorealistic adult human style, horror, violence, outdoor park, trees, grass, road, gym machines, cable station, barbell rack, crowded room, windows with strong scenery","ai/comfy/references/athlete/modelos-masc/modelo_gym_masc_31_40.png","ai/comfy/references/environments/entorno_home.png"
"alternating-bird-dog-row","Alternating Bird Dog Row","home","backend/public/exercises/alternating-bird-dog-row/alternating_bird_dog_row.png","alternating_bird_dog_row.png","Professional 3D fitness instructional illustration using the ATTACHED CHARACTER MODEL as the exact identity reference. Keep the same stylized 3D cartoon male character across every image: short brown hair, vivid green eyes, moustache, compact athletic proportions, friendly premium app look. Clothing must remain identical in all images: black athletic t-shirt, black shorts, black training shoes. Exercise: Alternating Bird Dog Row. Training environment: home. Muscle focus: Back. Category: Strength. Equipment required: Dumbbells. Show two poses in the same image, LEFT = START and RIGHT = END, with a subtle movement arrow and small labels START and END. LEFT pose: Colócate a cuatro apoyos con una mancuerna al lado. RIGHT pose: Evita rotar el torso durante el gesto. Minimal premium home workout set with the SAME clean background for every home exercise: soft warm natural light, matte light wall, subtle floor shadow, one black mat on the floor, compact dumbbells and a folded resistance band placed neatly in the scene, no furniture clutter, no extra props. High quality, premium fitness app style, centered composition, full body visible when possible, biomechanically correct posture, consistent facial features and body proportions.","extra fingers, mutated hands, malformed hands, deformed hands, extra arms, extra legs, duplicated body parts, twisted limbs, bad anatomy, poor biomechanics, incorrect exercise form, blurry, low quality, low resolution, text artifacts, watermark, logo, cropped head, cropped feet, out of frame, wrong eye color, different clothes, different character, multiple characters, photorealistic adult human style, horror, violence, outdoor park, trees, grass, road, gym machines, cable station, barbell rack, crowded room, windows with strong scenery","ai/comfy/references/athlete/modelos-masc/modelo_gym_masc_31_40.png","ai/comfy/references/environments/entorno_home.png"
"alternating-bodyweight-hip-hinge-reach","Alternating Bodyweight Hip Hinge Reach","home","backend/public/exercises/alternating-bodyweight-hip-hinge-reach/alternating_bodyweight_hip_hinge_reach.png","alternating_bodyweight_hip_hinge_reach.png","Professional 3D fitness instructional illustration using the ATTACHED CHARACTER MODEL as the exact identity reference. Keep the same stylized 3D cartoon male character across every image: short brown hair, vivid green eyes, moustache, compact athletic proportions, friendly premium app look. Clothing must remain identical in all images: black athletic t-shirt, black shorts, black training shoes. Exercise: Alternating Bodyweight Hip Hinge Reach. Training environment: home. Muscle focus: Legs. Category: Strength. Equipment required: Bodyweight. Show two poses in the same image, LEFT = START and RIGHT = END, with a subtle movement arrow and small labels START and END. LEFT pose: Ponte de pie con pies al ancho de caderas. RIGHT pose: Siente tensión en la parte posterior de las piernas. Minimal premium home workout set with the SAME clean background for every home exercise: soft warm natural light, matte light wall, subtle floor shadow, one black mat on the floor, compact dumbbells and a folded resistance band placed neatly in the scene, no furniture clutter, no extra props. High quality, premium fitness app style, centered composition, full body visible when possible, biomechanically correct posture, consistent facial features and body proportions.","extra fingers, mutated hands, malformed hands, deformed hands, extra arms, extra legs, duplicated body parts, twisted limbs, bad anatomy, poor biomechanics, incorrect exercise form, blurry, low quality, low resolution, text artifacts, watermark, logo, cropped head, cropped feet, out of frame, wrong eye color, different clothes, different character, multiple characters, photorealistic adult human style, horror, violence, outdoor park, trees, grass, road, gym machines, cable station, barbell rack, crowded room, windows with strong scenery","ai/comfy/references/athlete/modelos-masc/modelo_gym_masc_31_40.png","ai/comfy/references/environments/entorno_home.png"
"alternating-contralateral-supported-single-leg-deadlift","Alternating Contralateral Supported Single-Leg Deadlift","home","backend/public/exercises/alternating-contralateral-supported-single-leg-deadlift/alternating_contralateral_supported_single_leg_deadlift.png","alternating_contralateral_supported_single_leg_deadlift.png","Professional 3D fitness instructional illustration using the ATTACHED CHARACTER MODEL as the exact identity reference. Keep the same stylized 3D cartoon male character across every image: short brown hair, vivid green eyes, moustache, compact athletic proportions, friendly premium app look. Clothing must remain identical in all images: black athletic t-shirt, black shorts, black training shoes. Exercise: Alternating Contralateral Supported Single-Leg Deadlift. Training environment: home. Muscle focus: Legs. Category: Strength. Equipment required: Dumbbells. Show two poses in the same image, LEFT = START and RIGHT = END, with a subtle movement arrow and small labels START and END. LEFT pose: Sujeta una mancuerna en la mano opuesta a la pierna de apoyo. RIGHT pose: Desciende hasta donde controles. Minimal premium home workout set with the SAME clean background for every home exercise: soft warm natural light, matte light wall, subtle floor shadow, one black mat on the floor, compact dumbbells and a folded resistance band placed neatly in the scene, no furniture clutter, no extra props. High quality, premium fitness app style, centered composition, full body visible when possible, biomechanically correct posture, consistent facial features and body proportions.","extra fingers, mutated hands, malformed hands, deformed hands, extra arms, extra legs, duplicated body parts, twisted limbs, bad anatomy, poor biomechanics, incorrect exercise form, blurry, low quality, low resolution, text artifacts, watermark, logo, cropped head, cropped feet, out of frame, wrong eye color, different clothes, different character, multiple characters, photorealistic adult human style, horror, violence, outdoor park, trees, grass, road, gym machines, cable station, barbell rack, crowded room, windows with strong scenery","ai/comfy/references/athlete/modelos-masc/modelo_gym_masc_31_40.png","ai/comfy/references/environments/entorno_home.png"
"alternating-dead-bug-heel-taps","Alternating Dead Bug Heel Taps","home","backend/public/exercises/alternating-dead-bug-heel-taps/alternating_dead_bug_heel_taps.png","alternating_dead_bug_heel_taps.png","Professional 3D fitness instructional illustration using the ATTACHED CHARACTER MODEL as the exact identity reference. Keep the same stylized 3D cartoon male character across every image: short brown hair, vivid green eyes, moustache, compact athletic proportions, friendly premium app look. Clothing must remain identical in all images: black athletic t-shirt, black shorts, black training shoes. Exercise: Alternating Dead Bug Heel Taps. Training environment: home. Muscle focus: Core. Category: Strength. Equipment required: Bodyweight. Show two poses in the same image, LEFT = START and RIGHT = END, with a subtle movement arrow and small labels START and END. LEFT pose: Acuéstate boca arriba con piernas elevadas a 90 grados. RIGHT pose: Vuelve al centro y alterna el otro lado. Minimal premium home workout set with the SAME clean background for every home exercise: soft warm natural light, matte light wall, subtle floor shadow, one black mat on the floor, compact dumbbells and a folded resistance band placed neatly in the scene, no furniture clutter, no extra props. High quality, premium fitness app style, centered composition, full body visible when possible, biomechanically correct posture, consistent facial features and body proportions.","extra fingers, mutated hands, malformed hands, deformed hands, extra arms, extra legs, duplicated body parts, twisted limbs, bad anatomy, poor biomechanics, incorrect exercise form, blurry, low quality, low resolution, text artifacts, watermark, logo, cropped head, cropped feet, out of frame, wrong eye color, different clothes, different character, multiple characters, photorealistic adult human style, horror, violence, outdoor park, trees, grass, road, gym machines, cable station, barbell rack, crowded room, windows with strong scenery","ai/comfy/references/athlete/modelos-masc/modelo_gym_masc_31_40.png","ai/comfy/references/environments/entorno_home.png"
"alternating-dumbbell-floor-press","Alternating Dumbbell Floor Press","home","backend/public/exercises/alternating-dumbbell-floor-press/alternating_dumbbell_floor_press.png","alternating_dumbbell_floor_press.png","Professional 3D fitness instructional illustration using the ATTACHED CHARACTER MODEL as the exact identity reference. Keep the same stylized 3D cartoon male character across every image: short brown hair, vivid green eyes, moustache, compact athletic proportions, friendly premium app look. Clothing must remain identical in all images: black athletic t-shirt, black shorts, black training shoes. Exercise: Alternating Dumbbell Floor Press. Training environment: home. Muscle focus: Chest. Category: Strength. Equipment required: Dumbbells. Show two poses in the same image, LEFT = START and RIGHT = END, with a subtle movement arrow and small labels START and END. LEFT pose: Túmbate con una mancuerna en cada mano. RIGHT pose: Baja hasta tocar suavemente el suelo con los tríceps. Minimal premium home workout set with the SAME clean background for every home exercise: soft warm natural light, matte light wall, subtle floor shadow, one black mat on the floor, compact dumbbells and a folded resistance band placed neatly in the scene, no furniture clutter, no extra props. High quality, premium fitness app style, centered composition, full body visible when possible, biomechanically correct posture, consistent facial features and body proportions.","extra fingers, mutated hands, malformed hands, deformed hands, extra arms, extra legs, duplicated body parts, twisted limbs, bad anatomy, poor biomechanics, incorrect exercise form, blurry, low quality, low resolution, text artifacts, watermark, logo, cropped head, cropped feet, out of frame, wrong eye color, different clothes, different character, multiple characters, photorealistic adult human style, horror, violence, outdoor park, trees, grass, road, gym machines, cable station, barbell rack, crowded room, windows with strong scenery","ai/comfy/references/athlete/modelos-masc/modelo_gym_masc_31_40.png","ai/comfy/references/environments/entorno_home.png"
"alternating-dumbbell-pullover-reach","Alternating Dumbbell Pullover Reach","home","backend/public/exercises/alternating-dumbbell-pullover-reach/alternating_dumbbell_pullover_reach.png","alternating_dumbbell_pullover_reach.png","Professional 3D fitness instructional illustration using the ATTACHED CHARACTER MODEL as the exact identity reference. Keep the same stylized 3D cartoon male character across every image: short brown hair, vivid green eyes, moustache, compact athletic proportions, friendly premium app look. Clothing must remain identical in all images: black athletic t-shirt, black shorts, black training shoes. Exercise: Alternating Dumbbell Pullover Reach. Training environment: home. Muscle focus: Back. Category: Strength. Equipment required: Dumbbells. Show two poses in the same image, LEFT = START and RIGHT = END, with a subtle movement arrow and small labels START and END. LEFT pose: Túmbate con una mancuerna sostenida con ambas manos sobre el pecho. RIGHT pose: Vuelve al inicio activando dorsales y pecho. Minimal premium home workout set with the SAME clean background for every home exercise: soft warm natural light, matte light wall, subtle floor shadow, one black mat on the floor, compact dumbbells and a folded resistance band placed neatly in the scene, no furniture clutter, no extra props. High quality, premium fitness app style, centered composition, full body visible when possible, biomechanically correct posture, consistent facial features and body proportions.","extra fingers, mutated hands, malformed hands, deformed hands, extra arms, extra legs, duplicated body parts, twisted limbs, bad anatomy, poor biomechanics, incorrect exercise form, blurry, low quality, low resolution, text artifacts, watermark, logo, cropped head, cropped feet, out of frame, wrong eye color, different clothes, different character, multiple characters, photorealistic adult human style, horror, violence, outdoor park, trees, grass, road, gym machines, cable station, barbell rack, crowded room, windows with strong scenery","ai/comfy/references/athlete/modelos-masc/modelo_gym_masc_31_40.png","ai/comfy/references/environments/entorno_home.png"
